shop_name,rewards,clicks,sales,amount
プラザ オンライン楽天市場店,0,5,0,0
タンスのゲン Design the Future,0,1,0,0
楽天ブックス,0,7,0,0
インテリアワークス,0,11,0,0
イームズチェア,0,1,0,0
OSEWAYA,0,1,0,0
サックスバー 財布バッグ専門店,0,2,0,0
オフィス・エクスプレス,0,3,0,0
MTG ONLINESHOP,0,7,0,0
丸井（マルイ）楽天市場店,0,1,0,0
【公式】いろはショップオンライン,0,10,0,0
LUCIDA,0,1,0,0
くらしにふぃっと,0,1,0,0
atRise（アットライズ）,0,9,0,0
レブロン 公式 楽天市場店,0,1,0,0
COSME DIVA,0,4,0,0
日本新薬ヘルスケア　楽天市場店,0,9,0,0
ドレスブランド「AIMER」,0,1,0,0
京童工房,0,1,0,0
All Right Leather,0,1,0,0
AMOREPACIFIC 楽天市場店,0,9,0,0
改善ラボ　楽天市場店,0,19,0,0
medicube公式楽天市場店,0,1,0,0
ルミアグラス公式ストア楽天市場店,0,6,0,0
jonnyALIVE ジョニーアライブ,0,1,0,0
WIN-WIN LIFE【楽天市場店】,0,2,0,0
オルビス公式　楽天市場店,92,13,1,2310
ブライゼル,0,1,0,0
numbuzin,0,6,0,0
CAROTEキッチン用品 shop,86,4,1,2880
ヒトメボレコーデ,0,6,0,0
yamatoya,30,0,1,1000
sankishop,0,2,0,0
ドウィンクス,0,1,0,0
Beauty Queen Cosme楽天市場店,0,2,0,0
skisopgo,0,1,0,0
デイリーアロマジャパン楽天市場店,0,1,0,0
fwee（フィー） 公式,0,4,0,0
公式ボトルワークス楽天市場店,0,1,0,0
